"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Coagulation factor XIII A chain","F13A1","P00488","CHEMBL4530","Aminoacyltransferase","0.03374222582798858","0 /  4   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.029848034378592424","0 /  7   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.029848034378592424","0 /  5   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.029848034378592424","0 /  16   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.029848034378592424","0 /  12   "
"Glutamate receptor ionotropic, kainate 2","GRIK2","Q13002","CHEMBL3683","Ligand-gated ion channel","0.027479169669962143","0 /  27   "
"Glutamate receptor ionotropic, kainate 1","GRIK1","P39086","CHEMBL1918","Ligand-gated ion channel","0.027479169669962143","0 /  53   "
"Nuclear receptor subfamily 4 group A member 2","NR4A2","P43354","CHEMBL5002","Nuclear receptor","0.02416250944363308","0 /  3   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.02112383847841267","0 /  11   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.02112383847841267","0 /  11   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.02112383847841267","0 /  4   "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.02112383847841267","0 /  31   "
"Nuclear receptor ROR-alpha","RORA","P35398","CHEMBL5868","Nuclear receptor","0.02112383847841267","0 /  4   "
"Alpha-crystallin A chain","CRYAA","P02489","CHEMBL4296283","Unclassified protein","0.02112383847841267","0 /  1   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.01877365322615882","0 /  4   "
"AMPK alpha2/beta1/gamma1","N/A","P54646&P54619&Q9Y478","CHEMBL3038455","Kinase","0.015528444120392289","0 /  13   "
"HSP60/HSP10","N/A","P10809&P61604","CHEMBL4106131","Unclassified protein","0.015528444120392289","0 /  3   "
"SUMO-activating enzyme","N/A","Q9UBE0&Q9UBT2","CHEMBL2095174","Aminoacyltransferase","0.015173085337066775","0 /  2   "
"5'-nucleotidase","NT5E","P21589","CHEMBL5957","Phosphatase","0.015173085337066775","0 /  3   "
"Prostaglandin E2 receptor EP3 subtype","PTGER3","P43115","CHEMBL3710","Family A G protein-coupled receptor","0.0143097934276163","0 /  15   "
"Prostaglandin E2 receptor EP4 subtype","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.0143097934276163","0 /  19   "
"Prostaglandin E2 receptor EP1 subtype","PTGER1","P34995","CHEMBL1811","Family A G protein-coupled receptor","0.0143097934276163","0 /  8   "
"C-C chemokine receptor type 5","CCR5","P51681","CHEMBL274","Family A G protein-coupled receptor","0.013159746438204433","0 /  1   "
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","DLAT","P10515","CHEMBL4523180","Transferase","0.012687604785360709","0 /  1   "
"Nuclear receptor subfamily 1 group I member 2","NR1I2","O75469","CHEMBL3401","Nuclear receptor","0.012687604785360709","0 /  3   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.011162548688217295","0 /  2   "
"G-protein coupled bile acid receptor 1","GPBAR1","Q8TDU6","CHEMBL5409","Family A G protein-coupled receptor","0.011162548688217295","0 /  6   "
"Disintegrin and metalloproteinase domain-containing protein 17","ADAM17","P78536","CHEMBL3706","Protease","0.011162548688217295","0 /  1   "
