"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.24383454507435998","194 /  139   "
"D(1A) dopamine receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.24383454507435998","265 /  149   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.23977965333454138","38 /  93   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.23977965333454138","279 /  165   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.2392139421423667","255 /  126   "
"Tubulin beta-1 chain","TUBB1","Q9H4B7","CHEMBL1915","Structural protein","0.23784971505664643","19 /  35   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.22842925667674815","57 /  213   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.22686290473602155","942 /  270   "
"4-aminobutyrate aminotransferase, mitochondrial","ABAT","P80404","CHEMBL2044","Transferase","0.2263229044520304","1 /  1   "
"Succinate-semialdehyde dehydrogenase, mitochondrial","ALDH5A1","P51649","CHEMBL1911","Oxidoreductase","0.2263229044520304","1 /  1   "
"Serine/threonine-protein kinase/endoribonuclease IRE1","ERN1","O75460","CHEMBL1163101","Enzyme","0.21643186688969826","229 /  46   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.21455937718145315","185 /  61   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.21365542385201763","269 /  82   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.21307689387794618","330 /  41   "
"Bcl-2-like protein 1","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.2072699582909873","42 /  5   "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.2072699582909873","59 /  12   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.20658416720609776","102 /  67   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.20630394467192875","80 /  58   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.20630394467192875","96 /  142   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.20625275346188857","800 /  203   "
"Organic anion transporter 3","SLC22A8","Q8TCC7","CHEMBL1641348","Electrochemical transporter","0.2049458453772884","7 /  2   "
"Solute carrier family 22 member 6","SLC22A6","Q4U2R8","CHEMBL1641347","Electrochemical transporter","0.2049458453772884","5 /  1   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.19815474200904878","315 /  81   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.1977141475064347","109 /  61   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.1952194556929267","59 /  23   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.19203553153088265","51 /  17   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.18946137914643896","219 /  144   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.1871194146994587","3 /  2   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.1871194146994587","3 /  2   "
