"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Ubiquitin-conjugating enzyme E2 D3","UBE2D3","P61077","CHEMBL4105911","Transferase","0.022059671506109886","5 /  4   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.021891285367604145","1522 /  21   "
"Phosphatidylinositol 3-kinase catalytic subunit type 3","PIK3C3","Q8NEB9","CHEMBL1075165","Transferase","0.021530435102235873","583 /  3   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.021250618776627303","3209 /  2   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.020777910986142407","2449 /  2   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","0.020730963678457007","5365 /  44   "
"Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","PPP1CC","P36873","CHEMBL4438","Phosphatase","0.019656128344392808","5 /  6   "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.019416380366130363","3306 /  34   "
"Isoleucine--tRNA ligase, cytoplasmic","IARS1","P41252","CHEMBL3235","Ligase","0.0185434957133932","13 /  5   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.018300499551433726","2786 /  14   "
"Neurogenic locus notch homolog protein 1","NOTCH1","P46531","CHEMBL2146346","Membrane receptor","0.018008379501681743","65 /  1   "
