"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.1326864279134348","4085 /  16   "
"Substance-K receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.13062164878755866","384 /  1   "
"Integrin alpha-L/beta-2 (LFA-1)","N/A","P20701&P05107","CHEMBL2364172","Membrane receptor","0.13062164878755866","1 /  2   "
"Cholesteryl ester transfer protein","CETP","P11597","CHEMBL3572","Other ion channel","0.12870352401879995","302 /  4   "
"Tumor necrosis factor","TNF","P01375","CHEMBL1825","Secreted protein","0.12375725346911104","968 /  9   "
"DNA polymerase kappa","POLK","Q9UBT6","CHEMBL5365","Enzyme","0.1197868187876588","4 /  1   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.11955380135835697","232 /  35   "
"DNA polymerase beta","POLB","P06746","CHEMBL2392","Enzyme","0.11908838234002479","2 /  3   "
"Proprotein convertase subtilisin/kexin type 7","PCSK7","Q16549","CHEMBL2232","Protease","0.11640355930830551","1 /  1   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.11521866678696334","256 /  46   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.11521866678696334","380 /  44   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.10995916433816358","1162 /  46   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.10995916433816358","1026 /  37   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.10804125596400596","2974 /  18   "
"Protein kinase C gamma type","PRKCG","P05129","CHEMBL2938","Kinase","0.10610927377374658","91 /  8   "
"Prostacyclin receptor","PTGIR","P43119","CHEMBL1995","Family A G protein-coupled receptor","0.10311946855169708","46 /  12   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.10209577671778867","5539 /  7   "
