"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.16023231371680677","50 /  3   "
"5-hydroxytryptamine receptor 3A","HTR3A","P46098","CHEMBL1899","Ligand-gated ion channel","0.1600721380275729","6 /  1   "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.158506640250098","3 /  4   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.156666584026858","11 /  45   "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.15543278185787626","27 /  1   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.1549300008597138","228 /  24   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.15052127586043934","75 /  53   "
"Aurora kinase A","AURKA","O14965","CHEMBL4722","Kinase","0.14891961134076034","60 /  2   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.1476549806581578","15 /  13   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.14585686855550983","19 /  16   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.14534606410825418","53 /  49   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.14302457991143788","87 /  24   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.14187828699876134","18 /  12   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.14187828699876134","184 /  71   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.14029858157761504","106 /  16   "
