"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.06167038137268316","75 /  46   "
"RAC-alpha serine/threonine-protein kinase","AKT1","P31749","CHEMBL4282","Kinase","0.059194713031487135","51 /  3   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.05888919246097624","161 /  24   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.05807904445321939","67 /  83   "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.05798147828580723","139 /  4   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.057512333060501186","93 /  61   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.056791608551415566","250 /  5   "
"G-protein coupled receptor 35","GPR35","Q9HC97","CHEMBL1293267","Family A G protein-coupled receptor","0.05591430545247851","28 /  14   "
"Angiopoietin-1 receptor","TEK","Q02763","CHEMBL4128","Kinase","0.05591430545247851","7 /  1   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.055760635256114695","169 /  4   "
"Platelet-derived growth factor receptor beta","PDGFRB","P09619","CHEMBL1913","Kinase","0.05533653636664611","137 /  1   "
"Macrophage colony-stimulating factor 1 receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.052515760796832185","12 /  11   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0518428973431384","161 /  66   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.04965754948162928","3 /  5   "
"Vascular endothelial growth factor receptor 3","FLT4","P35916","CHEMBL1955","Kinase","0.04882853533379826","36 /  1   "
"Mitogen-activated protein kinase kinase kinase 8","MAP3K8","P41279","CHEMBL4899","Kinase","0.04707137999636353","3 /  1   "
"Heat shock 70 kDa protein 1A","HSPA1A","P0DMV8","CHEMBL5460","Other cytosolic protein","0.044900402458553805","7 /  1   "
