"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"CDGSH iron-sulfur domain-containing protein 1","CISD1","Q9NZ45","CHEMBL1795168","Unclassified protein","0.8782417404831859","25 /  1   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.87768833248234","390 /  12   "
"Lactoylglutathione lyase","GLO1","Q04760","CHEMBL2424","Lyase","0.874646966183111","23 /  4   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.8705705683522331","305 /  9   "
"Receptor-type tyrosine-protein phosphatase S","PTPRS","Q13332","CHEMBL2396508","Phosphatase","0.8691238391438048","6 /  8   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.8584718537794568","69 /  42   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.8530559642411163","365 /  38   "
"Casein kinase II alpha'/ beta","N/A","P67870&P19784","CHEMBL3883328","Kinase","0.8435258980429786","7 /  2   "
"Monocarboxylate transporter 1","SLC16A1","P53985","CHEMBL4360","Electrochemical transporter","0.8421018368604429","3 /  2   "
"Beta-galactoside alpha-2,6-sialyltransferase 1","ST6GAL1","P15907","CHEMBL3596075","Transferase","0.8335646404490733","7 /  2   "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.8319993661333146","13 /  3   "
"Macrophage metalloelastase","MMP12","P39900","CHEMBL4393","Protease","0.8295696757664787","39 /  5   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","0.8192888125976623","237 /  5   "
"Cyclin-dependent kinase 9","CDK9","P50750","CHEMBL3116","Kinase","0.8152758649887696","16 /  11   "
"CDK2/Cyclin A2","N/A","P24941&P20248","CHEMBL3038469","Kinase","0.8152758649887696","79 /  37   "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.8152758649887696","234 /  26   "
"CDK9/cyclin T1","N/A","O60563&P50750","CHEMBL2111389","Kinase","0.8152758649887696","82 /  53   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.8152758649887696","159 /  9   "
"G-protein coupled receptor 35","GPR35","Q9HC97","CHEMBL1293267","Family A G protein-coupled receptor","0.8118394496876788","27 /  32   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.8086136475963018","46 /  3   "
"Alpha-ketoglutarate-dependent dioxygenase FTO","FTO","Q9C0B1","CHEMBL2331065","Oxidoreductase","0.8060247723816899","61 /  3   "
"Alpha-amylase 1A","AMY1A","P0DUB6","CHEMBL2478","Hydrolase","0.8028392638741335","7 /  1   "
"Short transient receptor potential channel 5","TRPC5","Q9UL62","CHEMBL1250411","Voltage-gated ion channel","0.8021127588536441","5 /  4   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.8010157041890024","288 /  3   "
"A disintegrin and metalloproteinase with thrombospondin motifs 4","ADAMTS4","O75173","CHEMBL2318","Protease","0.7995871700376345","10 /  1   "
"Histone-lysine N-methyltransferase EZH1","EZH1","Q92800","CHEMBL2189116","Writer","0.7985508482390743","1 /  1   "
