"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.8279267369721539","109 /  31   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.8238859186934204","21 /  18   "
"CDGSH iron-sulfur domain-containing protein 1","CISD1","Q9NZ45","CHEMBL1795168","Unclassified protein","0.8238859186934204","24 /  6   "
"Dual specificity protein kinase CLK4","CLK4","Q9HAZ1","CHEMBL4203","Kinase","0.8238859186934204","31 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.8238859186934204","3 /  1   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.8238859186934204","20 /  10   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.8238859186934204","518 /  56   "
"Lactoylglutathione lyase","GLO1","Q04760","CHEMBL2424","Lyase","0.8238859186934204","31 /  8   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.8238859186934204","105 /  10   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.8238859186934204","73 /  4   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.8238859186934204","90 /  26   "
